series,team,pts,fgm,fga,pm3,pa3,oreb,dreb,reb,ast,stl,to,wins,tempmax,tempmin,series_win,fg_pct,fg3_pct
1,DK,110,43,136,18,64,20,49,69,27,19,30,3,6,3,0,.31617647,.31617647
1,JJ,125,60,153,5,31,29,55,84,32,19,29,6,6,3,1,.39215687,.39215687
2,DK,117,48,124,18,56,20,68,88,32,22,44,6,6,2,1,.38709676,.38709676
2,JJ,78,35,129,8,52,19,49,68,24,33,34,2,6,2,0,.27131784,.27131784
3,DK,80,33,93,10,36,16,45,61,17,16,31,4,4,2,1,.3548387,.3548387
3,JJ,69,31,96,7,25,17,33,50,19,21,26,2,4,2,0,.32291666,.32291666
4,DK,49,19,72,8,34,14,33,47,8,8,24,1,3,1,0,.2638889,.2638889
4,JJ,62,27,81,8,20,15,25,40,13,23,14,3,3,1,1,.33333334,.33333334
5,DK,112,48,117,14,48,28,50,78,30,11,42,5,5,4,1,.41025642,.41025642
5,JJ,108,46,129,16,51,14,28,42,29,25,19,4,5,4,0,.35658914,.35658914
