"#","Name","G","MIN","PTS","FGM","FGA","FG%","2PM","2PA","2P%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","STL","DFL","BLK","TO","PF","TF","PM","CHG","A/T","EFF","eFG%","TSA","TS%","GmSc","2PM_P","2PM_M","3PM_P","3PM_M","PTS_P","PTS_M","OREB_P","OREB_M","DREB_P","DREB_M","REB_P","REB_M","AST_P","AST_M","STL_P","STL_M","DFL_P","DFL_M","BLK_P","BLK_M","TO_P","TO_M","FT_P","FT_M","G","PPG","APG","RPG","BPG","SPG"
0,"동일 ",1,28,7,3,11,0.273,2,5,0.400,1,6,0.167,"-","-","-",2,2,4,6,1,1,"-",4,"-","-",10,"-",1.5,6.0,0.318,11.0,0.318,3.7,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,7.0,6.0,4.0,0.0,1.0
0,"토마스리 ",1,"-",3,1,7,0.143,"-",5,0.000,1,2,0.500,"-","-","-",1,7,8,1,2,1,"-",6,"-","-",1,"-",0.2,2.0,0.214,7.0,0.214,-2.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,3.0,1.0,8.0,0.0,2.0
0,"원유 ",1,40,20,10,15,0.667,10,14,0.714,"-",1,0.000,"-","-","-",6,5,11,"-","-",1,"-",2,"-","-",3,"-",0.0,24.0,0.667,15.0,0.667,17.2,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,20.0,0.0,11.0,0.0,0.0
0,"민주 ",1,40,8,2,19,0.105,"-",3,0.000,2,16,0.125,2,2,1.000,1,2,3,4,"-","-","-",6,"-","-",3,"-",0.7,-8.0,0.158,19.9,0.201,-6.4,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,8.0,4.0,3.0,0.0,0.0
0,"현호 ",1,40,0,0,3,0.000,"-",3,0.000,"-","-","-","-","-","-",6,8,14,3,2,1,"-",4,"-","-",3,"-",0.8,12.0,0.000,3.0,0.000,4.6,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,0.0,3.0,14.0,0.0,2.0
0,"동희 ",1,13,8,4,12,0.333,4,10,0.400,"-",2,0.000,"-","-","-",3,5,8,2,2,1,"-",3,"-","-",-2,"-",0.7,9.0,0.333,12.0,0.333,5.2,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,8.0,2.0,8.0,0.0,2.0
0,"병주 ",1,"-",16,7,9,0.778,5,5,1.000,2,4,0.500,"-","-","-",2,2,4,"-",1,1,"-",3,"-","-",1,"-",0.0,16.0,0.889,9.0,0.889,12.5,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,16.0,0.0,4.0,0.0,1.0
0,"덕용 ",1,29,12,4,11,0.364,"-",1,0.000,4,10,0.400,"-","-","-",2,6,8,5,1,1,"-",7,"-","-",-12,"-",0.7,12.0,0.545,11.0,0.545,6.6,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,12.0,5.0,8.0,0.0,1.0
0,"동현 ",1,12,21,9,17,0.529,6,12,0.500,3,5,0.600,"-","-","-",3,4,7,5,2,2,1,4,"-","-",6,"-",1.2,24.0,0.618,17.0,0.618,18.2,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,21.0,5.0,7.0,1.0,2.0
0,"상수 ",1,"-",17,8,13,0.615,7,11,0.636,1,2,0.500,"-","-","-",2,9,11,4,"-",1,"-",3,"-","-",7,"-",1.3,24.0,0.654,13.0,0.654,15.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,17.0,4.0,11.0,0.0,0.0
0,"종우 ","-","-",0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-","-","-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-"
," TEAM","-","-",0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-","-","-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-"
,"TOTALS",1,80,112,48,117,0.410,34,69,0.493,14,48,0.292,2,2,1.000,28,50,78,30,11,10,1,42,"-","-",4,"-",0.7,121.0,0.470,117.9,0.475,74.6,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,112.0,30.0,78.0,1.0,11.0
